ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,Time_taken(min),Shelf_life(days)
0x4607,INDORES13DEL02,37,4.9,16.408176,120.5945937,22.765049,75.912471,3/19/2024,11:30:00,11:45:00,conditions Sunny,High ,Cabbage ,car ,0,No ,(min) 24,7
0xB379,BANGRES18DEL02,34,4.5,16.41197959,120.5919928,13.043041,77.813237,3/25/2022,19:45:00,19:50:00,conditions Stormy,Jam ,Cabbage ,truck ,1,No ,(min) 33,7
0x5D6D,BANGRES19DEL01,23,4.4,16.41046644,120.600093,12.924264,77.6884,3/19/2022,8:30:00,8:45:00,conditions Rainy,Low ,Carrots , car,1,No ,(min) 26,7
0x7A6A,COIMBRES13DEL02,38,4.7,16.40853158,120.5988485,11.053669,77.026494,04/05/2022,18:00:00,18:10:00,conditions Sunny,Medium ,Potatoes ,car ,1,No ,(min) 21,7
0x70A2,CHENRES12DEL01,32,4.6,16.3986923,120.6084186,13.012793,80.289982,3/26/2022,13:30:00,13:45:00,conditions Cloudy,High ,Cabbage ,truck ,1,No ,(min) 30,7
0x9BB4,HYDRES09DEL03,22,4.8,16.41838679,120.5989022,17.461668,78.438321,03/11/2022,21:20:00,21:30:00,conditions Cloudy,Jam ,Potatoes ,car ,1,No ,(min) 26,7
0x95B4,RANCHIRES15DEL01,33,4.7,16.41209681,85.33982,23.479746,85.44982,03/04/2022,19:15:00,19:30:00,conditions Fog,Jam ,Lettuce ,truck ,1,No ,(min) 40,3
0x9EB2,MYSRES15DEL02,35,4.6,12.352058,120.5981903,12.482058,76.73665,3/14/2022,17:25:00,17:30:00,conditions Cloudy,Medium ,Lettuce ,motorcycle ,1,No ,(min) 32,3
0x1102,HYDRES05DEL02,22,4.8,16.41958767,78.386744,17.563809,78.516744,3/20/2022,20:55:00,21:05:00,conditions Stormy,Jam ,Potatoes ,motorcycle ,1,No ,(min) 34,7
0xCDCD,DEHRES17DEL01,36,4.2,30.327968,120.5946335,30.397968,78.116106,02/12/2022,21:55:00,22:10:00,conditions Fog,Jam ,Cabbage ,motorcycle ,3,No ,(min) 46,7
0xD987,KOCRES16DEL01,21,4.7,16.40913961,120.6006134,10.043064,76.347589,2/13/2022,14:55:00,15:05:00,conditions Stormy,High ,Lettuce ,motorcycle ,1,No ,(min) 23,7
0x2784,PUNERES13DEL03,23,4.7,16.40086979,120.6176972,18.65245,74.006619,03/04/2022,17:30:00,17:40:00,conditions Rainy,Medium ,Potatoes ,truck ,1,No ,(min) 21,3
0xC8B6,LUDHRES15DEL02,34,4.3,16.38103365,120.5578968,30.919584,75.829346,2/13/2022,9:20:00,9:30:00,conditions Rainy,Low ,Carrots ,motorcycle ,0,No ,(min) 20,7
0xDB64,KNPRES14DEL02,24,4.7,16.41397817,120.5974,26.593504,80.502929,2/14/2022,19:50:00,20:05:00,conditions Fog,Jam ,Cabbage ,truck ,1,No ,(min) 41,7
0x3AF3,MUMRES15DEL03,29,4.5,16.41962798,120.5982919,19.266269,72.926721,04/02/2022,20:25:00,20:35:00,conditions Rainy,Jam ,Potatoes ,van ,1,No ,(min) 20,7
